,Time,data,label
22,[01:51.93,"We write the morals rectify the nation,",Angry
23,[01:54.76,Now may be a time.,Angry
24,[01:57.10,"As you ruminate the hopeless ends of time,",Angry
25,[02:02.82,Do you wonder how your life has been defined?,Angry
26,[02:07.95,You know eternity can’t ever change your mind.,Angry
27,[02:13.78,You know eternity can’t ever change your mind.,Angry
28,[02:19.50,"So, think, think before you die.",Angry
29,[02:25.32,"Whoa, think, think before you die.",Angry
30,[02:30.76,,Angry
0,[00:08.94,Finally I felt the calming breeze,Angry
1,[00:17.62,Stepping out to watch the final scene.,Angry
2,[00:26.47,"After all it’s you, my pride, and me.",Angry
3,[00:35.16,I can speak whatever I can speak.,Angry
4,[00:43.08,You see.,Angry
5,[01:04.97,,Angry
6,[01:07.74,Now I found the way to meet the means.,Angry
7,[01:15.67,Faker face to make the kingdom clean.,Angry
8,[01:23.57,"After all it’s me, the king, and the beast.",Angry
9,[01:31.38,Whatever… whatever… I can’t speak,Angry
10,[01:38.63,A thing.,Angry
11,[01:59.42,,Angry
12,[02:02.94,How can I explain my winded feet?,Angry
13,[02:10.76,Cut them off in 2nd Mark it seems.,Angry
14,[02:18.55,Cut me off before I start to see.,Angry
15,[02:26.41,But I can cry as long as my deceit.,Angry
16,[02:33.69,You see?,Angry
17,[02:37.92,Me.,Angry
18,[02:41.68,See.,Angry
19,[02:45.67,Me.,Angry
20,[02:49.62,Me. Me. Me.,Angry
21,[03:12.05,,Angry
22,[03:13.30,"Sound. I’m a dead neck, what a habit,",Angry
23,[03:18.72,so I’ll dig it up and bury it in,Angry
24,[03:21.11,"Ground. What broke head, I think I’m dyin’,",Angry
25,[03:26.07,I need another one to incubate the,Angry
26,[03:28.44,"Sound. What broke head, what a habit,",Angry
27,[03:33.60,I need another and another one,Angry
28,[03:36.03,"The Ground. What a dead head, I think I’m dyin’,",Angry
29,[03:41.00,I think I’m dyin’ for another one,Angry
30,[03:43.63,"The Sound. What a broke neck, what a lion,",Angry
31,[03:48.54,I need another and another one,Angry
32,[03:50.94,"The Sound. What a cheap trick,",Angry
33,[03:54.23,"what a habit, what a habit when I need it yeah",Angry
34,[03:58.53,"The Sound. What a dead neck, what a lion,",Angry
35,[04:03.33,I need another and another one,Angry
36,[04:05.75,"The Sound. What a cheap trick,",Angry
37,[04:09.00,"what a habit, I think I’m dyin’ for",Angry
38,[04:13.15,"The Sound. What a dead neck,",Angry
39,[04:16.34,"what a habit, I think I’ll dig up and bury it in",Angry
40,[04:20.91,"Ground. What a broke head,",Angry
41,[04:23.61,"I think I’m dyin’, I think dyin’.",Angry
42,[04:35.51,,Angry
0,[00:31.97,Peaceful confrontation meet war machine,Angry
1,[00:34.20,,Angry
2,[00:35.39,Seizing all civil liberties,Angry
3,[00:37.73,,Angry
4,[00:39.07,Honest ballotation among banshee,Angry
5,[00:41.56,,Angry
6,[00:42.61,Spilling blood throughout humanity,Angry
7,[00:45.08,,Angry
8,[00:46.30,You cannot hide the face of death,Angry
9,[00:48.35,Oppression ruled by bloodshed,Angry
10,[00:49.80,,Angry
11,[00:53.70,No disguise can deface evil,Angry
12,[00:55.17,The massacre of innocent people,Angry
13,[00:56.98,,Angry
14,[01:04.79,Deviated lies fear blinding in your eyes,Angry
15,[01:07.21,,Angry
16,[01:07.77,Enforcing their truth through a gun,Angry
17,[01:09.94,,Angry
18,[01:11.34,Aggressive discipline and barbaric control,Angry
19,[01:14.06,,Angry
20,[01:15.11,Thousands of people cannot be wrong,Angry
21,[01:17.11,,Angry
22,[01:18.59,You cannot hide the face of death,Angry
23,[01:20.49,Oppression rules by bloodshed,Angry
24,[01:22.11,,Angry
25,[01:26.08,No disguise can hide the evil,Angry
26,[01:27.43,That stains the primitive sickle,Angry
27,[01:28.71,Blood red,Angry
28,[01:29.33,,Angry
29,[02:15.73,Growing opposition with words as ammunition,Angry
30,[02:18.28,,Angry
31,[02:18.89,Expressions of life's liberties,Angry
32,[02:20.94,,Angry
33,[02:22.70,Aggressive discipline and barbaric control,Angry
34,[02:25.35,,Angry
35,[02:26.52,Spilling blood throughout humanity,Angry
0,[00:21.44,"I want you to know, that I'm happy for you",Angry
1,[00:31.78,I wish nothing but the best for you both,Angry
2,[00:41.44,An older version of me,Angry
3,[00:44.19,Is she perverted like me,Angry
4,[00:46.82,Would she go down on you in a theatre,Angry
5,[00:51.99,Does she speak eloquently,Angry
6,[00:54.53,And would she have your baby,Angry
7,[00:57.16,I'm sure she'd make a really excellent mother,Angry
8,[01:01.98,,Angry
9,[01:03.08,Cause the love that you gave that we made wasn't able,Angry
10,[01:05.98,"To make it enough for you to be open wide, no",Angry
11,[01:13.52,And every time you speak her name,Angry
12,[01:16.04,Does she know how you told me you'd hold me,Angry
13,[01:18.53,"Until you died, til you died",Angry
14,[01:21.48,But you're still alive,Angry
15,[01:23.28,,Angry
16,[01:23.73,And I'm here to remind you,Angry
17,[01:28.63,Of the mess you left when you went away,Angry
18,[01:33.94,It's not fair to deny me,Angry
19,[01:39.24,Of the cross I bear that you gave to me,Angry
20,[01:43.80,"You, you, you oughta know",Angry
21,[01:47.98,,Angry
22,[01:48.48,"You seem very well, things look peaceful",Angry
23,[01:58.42,"I'm not quite as well, I thought you should know",Angry
24,[02:08.08,Did you forget about me Mr. Duplicity,Angry
25,[02:13.34,I hate to bug you in the middle of dinner,Angry
26,[02:18.48,It was a slap in the face how quickly I was replaced,Angry
27,[02:23.96,Are you thinking of me when you fuck her,Angry
28,[02:28.98,,Angry
29,[02:29.74,Cause the love that you gave that we made wasn't able,Angry
30,[02:32.51,"To make it enough for you to be open wide, no",Angry
31,[02:40.30,And every time you speak her name,Angry
32,[02:42.65,Does she know how you told me you'd hold me,Angry
33,[02:45.19,"Until you died, til you died",Angry
34,[02:48.03,But you're still alive,Angry
35,[02:49.94,,Angry
36,[02:50.31,And I'm here to remind you,Angry
37,[02:55.26,Of the mess you left when you went away,Angry
38,[03:00.53,It's not fair to deny me,Angry
39,[03:05.76,Of the cross I bear that you gave to me,Angry
40,[03:10.39,"You, you, you oughta know",Angry
41,[03:14.63,,Angry
42,[03:45.95,Cause the joke that you laid on the bed that was me,Angry
43,[03:48.59,And I'm not gonna fade,Angry
44,[03:49.82,As soon as you close your eyes and you know it,Angry
45,[03:56.42,And every time I scratch my nails,Angry
46,[03:58.85,down someone else's back,Angry
47,[04:00.85,I hope you feel it...well can you feel it,Angry
48,[04:05.66,,Angry
49,[04:06.26,And I'm here to remind you,Angry
50,[04:11.37,Of the mess you left when you went away,Angry
51,[04:16.61,It's not fair to deny me,Angry
52,[04:21.84,Of the cross I bear that you gave to me,Angry
53,[04:26.57,"You, you, you oughta know",Angry
54,[04:30.27,And I'm here to remind you,Angry
55,[04:35.06,Of the mess you left when you went away,Angry
56,[04:40.50,It's not fair to deny me,Angry
57,[04:45.40,Of the cross I bear that you gave to me,Angry
58,[04:50.10,"You, you, you oughta know",Angry
59,[04:54.32,,Angry
0,[00:41.89,"Blood roses, blood roses",Angry
1,[00:44.65,Back on the street now,Angry
2,[00:47.94,,Angry
3,[00:51.17,"Blood roses, blood roses",Angry
4,[00:53.90,Back on the street now,Angry
5,[00:57.25,,Angry
6,[01:00.37,"Blood roses, blood roses",Angry
7,[01:03.13,Back on the street now,Angry
8,[01:05.88,Can't forget the things you never said,Angry
9,[01:10.12,"On days like these,",Angry
10,[01:12.70,starts me thinking,Angry
11,[01:14.76,,Angry
12,[01:19.62,"When chickens get a taste of your meat, girl",Angry
13,[01:23.29,,Angry
14,[01:24.48,"And chickens get a taste of your meat, yes",Angry
15,[01:29.92,,Angry
16,[01:37.51,You gave him your blood,Angry
17,[01:40.09,and your warm little diamond,Angry
18,[01:43.78,,Angry
19,[01:46.93,You gave him your blood,Angry
20,[01:49.22,and your warm little diamond,Angry
21,[01:53.74,,Angry
22,[01:56.57,You gave him your blood,Angry
23,[01:58.59,and your warm little diamond,Angry
24,[02:01.38,,Angry
25,[02:02.17,He likes killing you after you're dead,Angry
26,[02:05.76,,Angry
27,[02:06.40,"You think I'm a queer,",Angry
28,[02:08.76,I think you're a queer,Angry
29,[02:11.08,I think you're a queer,Angry
30,[02:12.85,,Angry
31,[02:13.41,I think you're a queer,Angry
32,[02:16.96,,Angry
33,[02:18.20,I shaved every place,Angry
34,[02:19.99,"where you been, boy",Angry
35,[02:21.37,,Angry
36,[02:22.50,"I said, I shaved every place",Angry
37,[02:24.59,"where you been, yes",Angry
38,[02:27.01,,Angry
39,[02:37.86,God knows I know,Angry
40,[02:41.29,I've thrown away those graces,Angry
41,[02:50.38,,Angry
42,[02:51.28,God knows I've,Angry
43,[02:53.75,thrown away those graces,Angry
44,[03:00.07,,Angry
45,[03:03.06,God knows I know I've,Angry
46,[03:07.30,thrown away those graces,Angry
47,[03:13.56,,Angry
48,[03:15.95,The Belle of New Orleans,Angry
49,[03:25.15,,Angry
50,[03:26.66,Tried to show me once how to tango,Angry
51,[03:31.69,Round and round your feet,Angry
52,[03:35.50,,Angry
53,[03:36.77,Round and round like good little roses,Angry
54,[03:45.15,,Angry
55,[04:11.62,"Blood roses, blood roses",Angry
56,[04:14.46,Back on the street now,Angry
57,[04:17.50,,Angry
58,[04:20.73,"Blood roses, blood roses",Angry
59,[04:23.49,"Back on the street now, now, now",Angry
60,[04:31.97,,Angry
61,[04:32.85,Now you've cut out the flute,Angry
62,[04:37.20,From the throat of the loon,Angry
63,[04:40.01,At least when you cry now,Angry
64,[04:42.43,He can't even hear you,Angry
65,[04:48.66,,Angry
66,[04:50.01,"When chickens get a taste of your meat, girl",Angry
67,[04:53.35,,Angry
68,[04:54.44,"Come on, come on, come on",Angry
69,[04:56.39,"Come on, come on, come on",Angry
70,[04:57.98,"Come on, come on, come on",Angry
71,[04:59.85,"Oh when he sucks you deep, yes",Angry
72,[05:03.26,,Angry
73,[05:03.77,Sometimes you're nothing but meat,Angry
0,[00:03.99,It's just one of those days,Angry
1,[00:05.00,When ya don't wanna wake up,Angry
2,[00:06.61,"Everything is fucked, everybody sucks",Angry
3,[00:09.10,You don't really know why,Angry
4,[00:10.51,But you wanna justify rippin' someone's head off,Angry
5,[00:13.23,No human contact,Angry
6,[00:15.05,And if you interact your life is on contract,Angry
7,[00:17.86,Your best bet is to stay away mother fucker!,Angry
8,[00:20.57,It's just one of those days!,Angry
9,[00:21.88,,Angry
10,[00:22.40,It's all about the he said she said bullshit,Angry
11,[00:26.88,I think you better quit lettin' shit slip,Angry
12,[00:29.38,Or you'll be leavin with a fat lip,Angry
13,[00:31.16,It's all about the he said she said bullshit,Angry
14,[00:35.61,I think you better quit talkin' that shit,Angry
15,[00:36.41,,Angry
16,[00:38.74,It's just one of those days,Angry
17,[00:40.02,Feelin' like a freight train,Angry
18,[00:41.27,First one to complain,Angry
19,[00:42.67,Leaves with a blood stain,Angry
20,[00:44.02,Damn right I'm a maniac,Angry
21,[00:45.61,You better watch your back,Angry
22,[00:46.76,Cuz I'm fuckin' up your program,Angry
23,[00:48.55,And if you're stuck up,Angry
24,[00:49.76,You just lucked up,Angry
25,[00:51.12,Next in line to get fucked up,Angry
26,[00:52.85,Your best bet is to stay away motherfucker!,Angry
27,[00:55.42,It's just one of those days!,Angry
28,[00:56.67,,Angry
29,[00:57.32,It's all about the he said she said bullshit,Angry
30,[01:01.76,I think you better quit lettin shit slip,Angry
31,[01:04.15,Or you'll be leavin with a fat lip,Angry
32,[01:06.11,It's all about the he said she said bullshit,Angry
33,[01:10.54,"I think you better quit talkin that shit, punk",Angry
34,[01:13.00,So come and get it,Angry
35,[01:14.42,,Angry
36,[01:16.03,I feel like shit,Angry
37,[01:18.48,My suggestion is to keep your distance,Angry
38,[01:21.50,Cuz right now I'm dangerous,Angry
39,[01:24.00,We've all felt like shit,Angry
40,[01:26.13,And been treated like shit,Angry
41,[01:28.16,"All those motherfuckers, that want to step up",Angry
42,[01:31.46,,Angry
43,[01:31.94,I hope ya know,Angry
44,[01:33.02,I pack a chainsaw,Angry
45,[01:34.93,I'll skin your ass raw,Angry
46,[01:37.08,And if my day keeps going this way,Angry
47,[01:38.91,I just might break something tonight,Angry
48,[01:41.03,,Angry
49,[01:41.33,I pack a chainsaw,Angry
50,[01:43.64,I'll skin your ass raw,Angry
51,[01:45.91,And if my day keeps going this way,Angry
52,[01:47.29,I just might break something tonight,Angry
53,[01:49.82,,Angry
54,[01:50.16,I pack a chainsaw,Angry
55,[01:52.42,I'll skin your ass raw,Angry
56,[01:54.65,And if my day keeps going this way,Angry
57,[01:56.21,I just might break your fuckin' face tonight,Angry
58,[01:59.20,,Angry
59,[01:59.53,Give me somthing to break,Angry
60,[02:04.25,Give me somthing to break,Angry
61,[02:08.52,Just give me stuff to break,Angry
62,[02:13.50,How 'bout your fuckin' face?,Angry
63,[02:16.58,,Angry
64,[02:17.56,"I hope you know I pack a chainsaw, what?",Angry
65,[02:20.23,"A chainsaw, what?",Angry
66,[02:22.38,"A mutherfuckin' chainsaw, what?",Angry
67,[02:26.61,So come and get it,Angry
68,[02:27.71,,Angry
69,[02:28.22,It's all about the he said she said bullshit,Angry
70,[02:32.59,I think you better quit lettin shit slip,Angry
71,[02:35.10,Or you'll be leavin with a fat lip,Angry
72,[02:37.02,It's all about the he said she said bullshit,Angry
73,[02:41.44,I think you better quit talkin that shit,Angry
74,[02:43.37,"Punk, so come and get it",Angry
0,[00:12.37,The road was completely wasting,Angry
1,[00:15.13,Out of working down,Angry
2,[00:18.20,All inside it's so first rating,Angry
3,[00:21.08,As I turn in town in town,Angry
4,[00:24.12,Fill that nobody care,Angry
5,[00:26.86,Is darling watch out,Angry
6,[00:29.91,Nothing could begin,Angry
7,[00:32.97,To put action in my wife,Angry
8,[00:35.32,,Angry
9,[00:36.02,"Breaking the law,Breaking the law",Angry
10,[00:38.94,"Breaking the law,Breaking the law",Angry
11,[00:42.25,"Breaking the law,Breaking the law",Angry
12,[00:45.23,"Breaking the law,Breaking the law",Angry
13,[00:47.20,,Angry
14,[00:47.90,So much further don't do future,Angry
15,[00:50.50,I kept it even start,Angry
16,[00:53.41,How on break promise broken,Angry
17,[00:56.35,Aching my heart,Angry
18,[00:59.13,You don't know what is life,Angry
19,[01:02.13,You don't have a clue,Angry
20,[01:05.02,If you need you be yourself,Angry
21,[01:07.76,Do the same thing too,Angry
22,[01:10.46,,Angry
23,[01:10.85,"Breaking the law,Breaking the law",Angry
24,[01:14.41,"Breaking the law,Breaking the law",Angry
25,[01:16.50,"Breaking the law,Breaking the law",Angry
26,[01:19.51,"Breaking the law,Breaking the law",Angry
27,[01:23.07,,Angry
28,[01:34.80,You don't know what is the life,Angry
29,[01:39.80,,Angry
30,[02:08.84,"Breaking the law,Breaking the law",Angry
31,[02:11.87,"Breaking the law,Breaking the law",Angry
32,[02:14.73,"Breaking the law,Breaking the law",Angry
33,[02:17.59,"Breaking the law,Breaking the law",Angry
34,[02:20.72,"Breaking the law,Breaking the law",Angry
35,[02:23.56,"Breaking the law,Breaking the law",Angry
36,[02:26.21,"Breaking the law,Breaking the law",Angry
37,[02:28.84,"Breaking the law,Breaking the law",Angry
38,[02:32.38,,Angry
0,[00:18.99,Shaking your head like it's all wrong,Angry
1,[00:27.75,Before you're here you're already gone,Angry
2,[00:36.54,And even with the light all around you,Angry
3,[00:40.42,You're all alone in the dark.,Angry
4,[00:44.78,You're breaking your own heart,Angry
5,[00:47.28,Taking it too far down the lonely road,Angry
6,[00:53.53,You say it's just one love,Angry
7,[00:55.85,But when it's close enough you just let it go,Angry
8,[01:02.95,The very thing you've been the most afraid of,Angry
9,[01:07.96,"You've been doing it from the start, breaking your own heart.",Angry
10,[01:14.34,,Angry
11,[01:23.02,"Too many tears, too many falls",Angry
12,[01:31.47,It's easy to hear behind these walls,Angry
13,[01:40.42,But you don't have to walk in the shadows,Angry
14,[01:44.74,Life is so hard.,Angry
15,[01:48.39,You're breaking your own heart,Angry
16,[01:51.06,Taking it too far down the lonely road,Angry
17,[01:57.46,You say it's just one love,Angry
18,[01:59.64,But when it's close enough you just let it go,Angry
19,[02:06.72,The very thing you've been the most afraid of,Angry
20,[02:11.82,"You've been doing it from the start, breaking your own heart.",Angry
21,[02:20.01,,Angry
22,[02:23.84,You're breaking your own heart.,Angry
23,[02:35.75,"It's not too late, I'm still right here.",Angry
24,[02:44.34,If only you let go of your fears.,Angry
25,[02:50.20,You're breaking your heart,Angry
26,[02:52.65,Taking your own heart down the lonely road,Angry
27,[02:59.04,You say it's just one love,Angry
28,[03:01.33,But when it's close enough you just let it go,Angry
29,[03:07.80,The very thing you've been the most afraid of,Angry
30,[03:13.42,"You've been doing it from the start, breaking your own heart.",Angry
31,[03:20.66,,Angry
32,[03:27.95,You're breaking your own heart,Angry
33,[03:32.02,,Angry
0,[00:38.73,From the black of decieving lies,Angry
1,[00:43.69,A new star is born now he brings you to light,Angry
2,[00:47.10,With his hands untied,Angry
3,[00:50.00,,Angry
4,[00:51.17,"They tried so hard to follow, but no-one cared",Angry
5,[00:57.14,"Inside you're all so hollow, you understand",Angry
6,[01:03.24,,Angry
7,[01:05.70,"Hey, nothing you can say (say),",Angry
8,[01:08.73,nothing gonna change what you've done to me,Angry
9,[01:12.53,"Now it's time to shine (shine),",Angry
10,[01:13.85,I'm gonna take what's mine,Angry
11,[01:15.85,While you're burning inside my light,Angry
12,[01:18.92,,Angry
13,[01:27.35,I gave and you take,Angry
14,[01:28.24,And I waited for you but I made a mistake,Angry
15,[01:33.04,It's clear that you're fear is so near me,Angry
16,[01:37.48,Because I see the look on you're face,Angry
17,[01:40.77,,Angry
18,[01:42.85,"You tried to hold me under, I held my breath",Angry
19,[01:50.33,"Alone and now you wonder, What I posess",Angry
20,[01:55.55,,Angry
21,[01:57.23,"Hey, nothing you can say (say),",Angry
22,[02:00.41,nothing's gonna change what you've done to me,Angry
23,[02:03.00,"Now it's time to shine (shine),",Angry
24,[02:05.14,you're gonna burn in my light,Angry
25,[02:09.06,"Hey, nothing you can say,",Angry
26,[02:11.63,nothing's gonna change what you've done to me,Angry
27,[02:15.93,"Now it's time to shine,",Angry
28,[02:17.40,I'm gonna take what's mine,Angry
29,[02:19.59,While you're burning inside my light,Angry
30,[02:21.95,,Angry
31,[02:52.64,"Hey, (hey) nothing you can say,",Angry
32,[02:55.67,nothing's gonna change what you've done to me (hey),Angry
33,[02:58.95,"Now it's time to shine,",Angry
34,[03:00.95,I'm gonna take what's mine.... take what's mine,Angry
35,[03:09.95,"Hey, (hey) nothing you can say,",Angry
36,[03:11.95,nothing's gonna change what you've done to me (hey),Angry
37,[03:15.95,"Now it's time to shine,",Angry
38,[03:17.95,I'm gonna take what's mine,Angry
39,[03:22.95,You're gonna burn in my light,Angry
40,[03:27.95,burn in my light,Angry
41,[03:56.95,,Angry
0,[00:29.14,I see it in your eyes,Angry
1,[00:31.70,Your feeling paranoid,Angry
2,[00:34.07,You know just what I've done,Angry
3,[00:36.46,You know what I've become,Angry
4,[00:38.76,I feel it deep inside,Angry
5,[00:41.20,With all the pain and lies,Angry
6,[00:43.54,I know just what I want,Angry
7,[00:45.86,I am an animal,Angry
8,[00:48.47,,Angry
9,[00:49.10,I think it's time I let you go,Angry
10,[00:53.57,(Why did you send me off ?),Angry
11,[00:57.64,,Angry
12,[00:58.66,You can't cage the beast !,Angry
13,[01:00.94,There's no break in me,Angry
14,[01:03.34,You can't cage the beast inside of me,Angry
15,[01:07.94,I feel the rage,Angry
16,[01:10.32,And all the the pain,Angry
17,[01:12.66,You can't cage the beast inside of me,Angry
18,[01:16.78,Inside of me,Angry
19,[01:18.74,,Angry
20,[01:27.57,I feel it in your vine,Angry
21,[01:30.07,You are a parasite,Angry
22,[01:32.48,Who knows just what I've done,Angry
23,[01:34.82,I think your time has come,Angry
24,[01:37.14,You tried to turn the tide,Angry
25,[01:39.48,I think you've lost your mind,Angry
26,[01:41.77,Afraid of what I want,Angry
27,[01:44.11,This sick animal I've become,Angry
28,[01:46.62,,Angry
29,[01:47.39,I think it's time I let you go,Angry
30,[01:51.88,(Why did you send me off ?),Angry
31,[01:55.85,,Angry
32,[01:56.91,You can't cage the beast !,Angry
33,[01:59.20,There's no break in me,Angry
34,[02:01.54,You can't cage the beast inside of me,Angry
35,[02:06.19,I feel the rage,Angry
36,[02:08.54,And all the pain,Angry
37,[02:10.88,You can't cage the beast inside of me,Angry
38,[02:15.08,Inside of ME !,Angry
39,[02:17.55,,Angry
40,[02:21.18,≡ 卐 Adelitas Way - Cage The Beast 卐 ≡,Angry
41,[02:30.30,≡ 卐 Home School Valedictorian (2011) 卐 ≡,Angry
42,[02:39.79,,Angry
43,[02:45.63,You can't cage the beast !,Angry
44,[02:48.13,There's no break in me,Angry
45,[02:50.49,You can't cage the beast inside of me,Angry
46,[02:54.99,I feel the rage,Angry
47,[02:57.53,And all the pain,Angry
48,[02:59.82,You can't cage the beast inside of me,Angry
49,[03:03.96,Inside of me,Angry
50,[03:05.92,,Angry
0,[00:06.00,"""What we've got here is failure to communicate.",Angry
1,[00:12.00,Some men you just can't reach...,Angry
2,[00:17.00,"So, you get what we had here last week,",Angry
3,[00:20.00,which is the way he wants it!,Angry
4,[00:22.00,"Well, he gets it!",Angry
5,[00:26.00,N' I don't like it any more than you men.,Angry
6,[00:38.00,Look at your young men fighting,Angry
7,[00:41.00,Look at your women crying,Angry
8,[00:44.00,Look at your young men dying,Angry
9,[00:48.00,The way they've always done before,Angry
10,[01:05.00,Look at the hate we're breeding,Angry
11,[01:08.00,Look at the fear we're feeding,Angry
12,[01:11.00,Look at the lives we're leading,Angry
13,[01:15.00,The way we've always done before,Angry
14,[01:24.00,My hands are tied,Angry
15,[01:28.00,The billions shift from side to side,Angry
16,[01:32.00,And the wars go on with brainwashed pride,Angry
17,[01:35.00,For the love of God and our human rights,Angry
18,[01:39.00,And all these things are swept aside,Angry
19,[01:42.00,By bloody hands time can't deny,Angry
20,[01:45.00,And are washed away by your genocide,Angry
21,[01:49.00,And history hides the lies of our civil wars,Angry
22,[02:26.00,D'you wear a black armband,Angry
23,[02:28.00,When they shot the man,Angry
24,[02:30.00,"Who said ""Peace could last forever""",Angry
25,[02:33.00,And in my first memories,Angry
26,[02:35.00,They shot Kennedy,Angry
27,[02:37.00,I went numb when I learned to see,Angry
28,[02:41.00,So I never fell for Vietnam,Angry
29,[02:44.00,We got the wall of D.C. to remind us all,Angry
30,[02:48.00,That you can't trust freedom,Angry
31,[02:49.00,When it's not in your hands,Angry
32,[02:51.00,When everybody's fightin,Angry
33,[02:53.00,For their promised land,Angry
34,[02:54.00,And,Angry
35,[02:56.00,I don't need your civil war,Angry
36,[03:02.00,It feeds the rich while it buries the poor,Angry
37,[03:10.00,Your power hungry sellin' soldiers,Angry
38,[03:12.00,In a human grocery store,Angry
39,[03:15.00,Ain't that fresh,Angry
40,[03:17.00,I don't need your civil war,Angry
41,[03:51.00,Look at the shoes your filling,Angry
42,[03:54.00,Look at the blood we're spilling,Angry
43,[03:58.00,Look at the world we're killing,Angry
44,[04:01.00,The way we've always done before,Angry
45,[04:05.00,Look in the doubt we've wallowed,Angry
46,[04:08.00,Look at the leaders we've followed,Angry
47,[04:12.00,Look at the lies we've swallowed,Angry
48,[04:15.00,And I don't want to hear no more,Angry
49,[04:25.00,My hands are tied,Angry
50,[04:30.00,For all I've seen has changed my mind,Angry
51,[04:32.00,But still the wars go on as the years go by,Angry
52,[04:36.00,With no love of God or human rights,Angry
53,[04:39.00,'Cause all these dreams are swept aside,Angry
54,[04:43.00,By bloody hands of the hypnotized,Angry
55,[04:46.00,Who carry the cross of homicide,Angry
56,[04:50.00,And history bears the scars of our civil wars,Angry
57,[05:28.00,"""We practice selective annihilation of mayors",Angry
58,[05:31.00,And government officials,Angry
59,[05:32.00,For example to create a vacuum,Angry
60,[05:34.00,Then we fill that vacuum,Angry
61,[05:35.00,As popular war advances,Angry
62,[05:37.00,,Angry
63,[05:39.00,I don't need your civil war,Angry
64,[05:46.00,It feeds the rich while it buries the poor,Angry
65,[05:53.00,Your power hungry sellin' soldiers,Angry
66,[05:55.00,In a human grocery store,Angry
67,[05:58.00,Ain't that fresh,Angry
68,[06:00.00,And I don't need your civil war,Angry
69,[06:06.00,I don't need your civil war,Angry
70,[06:13.00,I don't need your civil war,Angry
71,[06:20.00,Your power hungry sellin' soldiers,Angry
72,[06:22.00,In a human grocery store,Angry
73,[06:23.00,Ain't that fresh,Angry
74,[06:27.00,I don't need your civil war,Angry
75,[06:33.00,I don't need one more war,Angry
76,[06:53.00,I don't need one more war,Angry
77,[07:13.00,Whaz so civil 'bout war anyway,Angry
0,[01:52.42,Crawl from the wreckage one more time,Angry
